complaint_id,product_group,sonnet_classification,gpt4o_classification,concordant_classification,avg_delegative_score,avg_evaluative_score,care_p,fairness_p,loyalty_p,authority_p,sanctity_p
4075410,mortgage,EVALUATIVE,EVALUATIVE,EVALUATIVE,0.25,0.875,0.0270967263228139,0.0322882570236077,0.0254671767262068,0.0230131468803087,0.0236713196402787
9311936,mortgage,EVALUATIVE,EVALUATIVE,EVALUATIVE,0.22499999999999998,0.825,0.0249081008436597,0.0253868288354867,0.0208458103819942,0.0196334987782029,0.0176872446925441
7072668,mortgage,EVALUATIVE,EVALUATIVE,EVALUATIVE,0.30000000000000004,0.825,0.0350559761851195,0.0409771842960856,0.0289722196803944,0.0239761555706151,0.0273989750103413
2823126,mortgage,DELEGATIVE,DELEGATIVE,DELEGATIVE,0.775,0.325,0.0287996263217707,0.0308638105336414,0.0264051357627134,0.0251365217351198,0.0216368202630094
5839138,mortgage,DELEGATIVE,DELEGATIVE,DELEGATIVE,0.8,0.45,0.0237451930796141,0.0329957666534593,0.02239076011331,0.0250363431524559,0.0182499563467244
1578829,mortgage,EVALUATIVE,EVALUATIVE,EVALUATIVE,0.22499999999999998,0.875,0.0273367818420959,0.031115835619045,0.0232951459855807,0.0226906766687536,0.0189291813784666
3783870,mortgage,EVALUATIVE,EVALUATIVE,EVALUATIVE,0.325,0.825,0.0261731096012583,0.0284846281531595,0.0253810230493339,0.0260509463480325,0.0202238826429344
3894493,mortgage,EVALUATIVE,EVALUATIVE,EVALUATIVE,0.175,0.825,0.029070819590588,0.0321080617661374,0.0239130289507248,0.0286089889375437,0.0230386267180159
12073209,mortgage,EVALUATIVE,EVALUATIVE,EVALUATIVE,0.175,0.875,0.0265361957606682,0.0308017363842091,0.021208601793022,0.0258425758736471,0.0198560595530867
2441024,mortgage,EVALUATIVE,EVALUATIVE,EVALUATIVE,0.22499999999999998,0.875,0.0243807225627431,0.028621754690669,0.0202304790726858,0.0214247815548368,0.0154221271298445
3134114,mortgage,EVALUATIVE,EVALUATIVE,EVALUATIVE,0.25,0.725,0.0281502371965761,0.0349992101908444,0.0268591867348184,0.0190260666358309,0.0196357249244665
6375919,mortgage,EVALUATIVE,EVALUATIVE,EVALUATIVE,0.275,0.825,0.0297353304328482,0.0317494062395305,0.0257802614876543,0.0242872120904213,0.0186035459104756
