StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,FL1,FL2,FL3,D1,D2,D3,D4,D5,D6,B1_1,B1_2,B1_3,B1_4,B1_5,C2,D1_1,D1_2,D1_3,D1_4,condition,Participant id,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Employment status
2026-02-25 11:52:27,2026-02-25 11:55:45,IP Address,174.192.192.199,100,198,True,2026-02-25 11:55:46,R_1dNRD4pdmFugF2N,,,,,39.0462,-77.1195,anonymous,EN,More than $102,Less than today,False,25,Female,"$25,000–$49,999",Some college,Worked with a human financial advisor,Somewhat disagree,Somewhat Agree,Moderately Agree,Somewhat Disagree,Somewhat Disagree,Moderately Disagree,WealthPath performed worse than the market,Moderately Disagree,Moderately Agree,Moderately Disagree,Moderately Disagree,A,6960f7f88879dc4e6d294fb3,25,Female,Mixed,United States,United States,United States,Full-Time
2026-02-25 11:58:06,2026-02-25 12:01:22,IP Address,50.4.184.172,100,196,True,2026-02-25 12:01:23,R_1HenoXLap7gus69,,,,,27.8843,-82.8025,anonymous,EN,More than $102,Less than today,False,29,Male,"$25,000–$49,999",Some college,"Self-directed investing through a brokerage account,Employer retirement plan (401k, 403b)",Somewhat disagree,Somewhat Disagree,Moderately Agree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,WealthPath performed about the same as the market,Moderately Disagree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,C,66dceb449e0e3f3b1f239b3b,29,Male,White,United States,United States,United States,Full-Time
2026-02-25 12:01:40,2026-02-25 12:07:51,IP Address,24.192.168.61,100,370,True,2026-02-25 12:07:52,R_1GrX9roKnsYvplt,,,,,42.5538,-82.9185,anonymous,EN,More than $102,Less than today,Don't know,28,Male,"$75,000–$99,999",High school diploma or GED,No investment experience,Somewhat disagree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,WealthPath performed worse than the market,Neither Agree nor Disagree,Strongly Agree,Strongly Disagree,Neither Agree nor Disagree,A,62d43cee3d60ac98c1dcacc8,28,Male,White,United States,United States,United States,DATA_EXPIRED
2026-02-25 12:08:04,2026-02-25 12:11:28,IP Address,172.56.107.200,100,204,True,2026-02-25 12:11:29,R_7Vl2D22gvO9b4NP,,,,,47.4973,-122.3555,anonymous,EN,More than $102,Less than today,False,27,Female,"$75,000–$99,999",Bachelor's degree,"Used a robo-advisor (e.g., Betterment, Wealthfront),Self-directed investing through a brokerage account",Somewhat disagree,Somewhat Agree,Moderately Agree,Somewhat Disagree,Moderately Disagree,Moderately Disagree,WealthPath performed worse than the market,Somewhat Disagree,Neither Agree nor Disagree,Moderately Agree,Moderately Agree,B,65cb86a7e667e637599a3af3,27,Female,Asian,Philippines,United States,Philippines,Full-Time
2026-02-25 12:15:55,2026-02-25 12:18:15,IP Address,172.56.109.192,100,140,True,2026-02-25 12:18:15,R_6QSDa5lyIw4uQCx,,,,,47.4467,-122.2684,anonymous,EN,More than $102,Less than today,False,29,Male,"$25,000–$49,999",Less than high school,Self-directed investing through a brokerage account,Somewhat disagree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,WealthPath performed worse than the market,Somewhat Disagree,Moderately Agree,Moderately Agree,Moderately Agree,B,5acb69b70527ba0001c25872,29,Female,White,United States,United States,United States,DATA_EXPIRED
2026-02-25 12:20:24,2026-02-25 12:23:08,IP Address,108.85.11.5,100,164,True,2026-02-25 12:23:08,R_6w9P6PQJdGfT8Ih,,,,,28.3089,-81.3708,anonymous,EN,More than $102,Less than today,False,23,Male,"$50,000–$74,999",Some college,No investment experience,Somewhat disagree,Strongly Agree,Moderately Agree,Moderately Agree,Neither Agree nor Disagree,Somewhat Disagree,WealthPath performed worse than the market,Somewhat Agree,Moderately Agree,Neither Agree nor Disagree,Moderately Agree,A,698f8e8ec02d6d5f92286914,23,Male,White,United States,United States,Puerto Rico,Part-Time
2026-02-25 12:23:25,2026-02-25 12:27:42,IP Address,72.23.123.6,100,257,True,2026-02-25 12:27:42,R_7sHz6XXJd1cURgZ,,,,,40.6265,-80.0559,anonymous,EN,More than $102,Less than today,False,33,Non-binary / third gender,"$25,000–$49,999",Bachelor's degree,Self-directed investing through a brokerage account,Somewhat disagree,Moderately Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,WealthPath performed worse than the market,Strongly Disagree,Moderately Agree,Somewhat Disagree,Somewhat Disagree,B,60f657824394dac9902c821f,33,DATA_EXPIRED,White,United States,United States,United States,Unemployed (and job seeking)
2026-02-25 12:27:59,2026-02-25 12:31:27,IP Address,46.110.212.129,100,207,True,2026-02-25 12:31:27,R_3lKzaLUa7SGVu5F,,,,,29.1383,-80.9956,anonymous,EN,More than $102,Less than today,False,39,Male,"$100,000–149,999",High school diploma or GED,"Worked with a human financial advisor,Self-directed investing through a brokerage account,Employer retirement plan (401k, 403b)",Somewhat disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Moderately Disagree,WealthPath performed worse than the market,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,A,55fc2b4377f33b000ecb21ed,39,Male,White,United States,United States,United States,Full-Time
2026-02-25 12:31:45,2026-02-25 12:33:56,IP Address,199.30.208.222,100,130,True,2026-02-25 12:33:56,R_5FxpHKAcqXGlCbj,,,,,39.9625,-83.0061,anonymous,EN,More than $102,Less than today,False,33,Male,"$100,000–149,999",Graduate or professional degree,"Self-directed investing through a brokerage account,Employer retirement plan (401k, 403b)",Somewhat disagree,Somewhat Agree,Moderately Agree,Somewhat Agree,Moderately Agree,Somewhat Agree,WealthPath performed worse than the market,Moderately Disagree,Somewhat Agree,Neither Agree nor Disagree,Moderately Disagree,B,63cffe69ec33b3a776d6660e,33,Male,White,United States,United States,United States,Full-Time
2026-02-25 12:34:17,2026-02-25 12:36:43,IP Address,184.56.12.192,100,146,True,2026-02-25 12:36:44,R_6sBvgLxJ6lUMAwN,,,,,38.3085,-85.816,anonymous,EN,More than $102,Less than today,False,40,Male,"$50,000–$74,999",Bachelor's degree,Self-directed investing through a brokerage account,Somewhat disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,WealthPath performed worse than the market,Moderately Disagree,Moderately Agree,Somewhat Disagree,Somewhat Disagree,C,5a0f46bb7542890001aa7503,40,Male,White,United States,United States,United States,Full-Time
