Predictor,B,SE,Standardized_Beta,t,p,CI_lower,CI_upper
Intercept,5.5725,0.6705,,8.3107,0.0,4.2537,6.8913
evaluative_trust,-0.0386,0.0765,-0.0268,-0.5048,0.613995,-0.1891,0.1118
delegative_trust,-0.3258,0.0563,-0.3044,-5.7856,0.0,-0.4366,-0.215
cond_A,0.0733,0.1918,0.0226,0.3822,0.702561,-0.3039,0.4505
cond_B,-0.2502,0.1858,-0.0791,-1.3465,0.179042,-0.6156,0.1153
age,-0.0064,0.0064,-0.0512,-1.0072,0.314556,-0.019,0.0061
fin_lit_score,-0.1905,0.1179,-0.0862,-1.6162,0.106965,-0.4223,0.0413
robo_experience,-0.2154,0.2341,-0.0468,-0.9202,0.358128,-0.6759,0.2451
comprehension_pass,0.5842,0.2042,0.149,2.8611,0.00448,0.1826,0.9858
attention_pass,1.1792,0.4206,0.1406,2.8037,0.005339,0.352,2.0064
MODEL SUMMARY,,,,,,R²=0.1514,Adj R²=0.1292
